Region;ID_Pays;Pays;Var_Sigi;Annee;Valeur
Europe;NLD;Netherlands;Discrimination in the family;2019;23.8
Europe;NLD;Netherlands;Restricted physical integrity;2019;13.5
Europe;NLD;Netherlands;Restricted access to productive and financial resources;2019;5
Europe;NLD;Netherlands;Restricted civil liberties;2019;21.1
Asia;NZL;New Zealand;SIGI;2019;16.7
Asia;NZL;New Zealand;Discrimination in the family;2019;21.9
Asia;NZL;New Zealand;Restricted physical integrity;2019;17.5
Asia;NZL;New Zealand;Restricted access to productive and financial resources;2019;4.3
Asia;NZL;New Zealand;Restricted civil liberties;2019;22
Americas;NIC;Nicaragua;SIGI;2019;18.6
Americas;NIC;Nicaragua;Discrimination in the family;2019;25.3
Americas;NIC;Nicaragua;Restricted physical integrity;2019;25.6
Americas;NIC;Nicaragua;Restricted access to productive and financial resources;2019;16
Americas;NIC;Nicaragua;Restricted civil liberties;2019;6.2
Africa;NER;Niger;Discrimination in the family;2019;84.4
Africa;NER;Niger;Restricted civil liberties;2019;25.6
Africa;NGA;Nigeria;SIGI;2019;46
Africa;NGA;Nigeria;Discrimination in the family;2019;54.8
Africa;NGA;Nigeria;Restricted physical integrity;2019;32
Africa;NGA;Nigeria;Restricted access to productive and financial resources;2019;41.4
Africa;NGA;Nigeria;Restricted civil liberties;2019;53.9
Europe;MKD;North Macedonia;SIGI;2019;18
Europe;MKD;North Macedonia;Discrimination in the family;2019;27.7
Europe;MKD;North Macedonia;Restricted physical integrity;2019;15.1
Europe;MKD;North Macedonia;Restricted access to productive and financial resources;2019;13.4
Europe;MKD;North Macedonia;Restricted civil liberties;2019;15.2
Europe;NOR;Norway;SIGI;2019;14.5
Europe;NOR;Norway;Discrimination in the family;2019;27.3
Europe;NOR;Norway;Restricted physical integrity;2019;7
Europe;NOR;Norway;Restricted access to productive and financial resources;2019;2.2
Europe;NOR;Norway;Restricted civil liberties;2019;19.5
Asia;OMN;Oman;Discrimination in the family;2019;86.5
Asia;PAK;Pakistan;SIGI;2019;58.7
Asia;PAK;Pakistan;Discrimination in the family;2019;79.8
Asia;PAK;Pakistan;Restricted physical integrity;2019;37.1
Asia;PAK;Pakistan;Restricted access to productive and financial resources;2019;60.1
Asia;PAK;Pakistan;Restricted civil liberties;2019;53.1
Asia;PSE;Palestinian Authority or West Bank and Gaza Strip;Discrimination in the family;2019;89.2
Asia;PSE;Palestinian Authority or West Bank and Gaza Strip;Restricted access to productive and financial resources;2019;64.9
Asia;PSE;Palestinian Authority or West Bank and Gaza Strip;Restricted civil liberties;2019;59.4
Americas;PAN;Panama;Discrimination in the family;2019;15.5
Americas;PAN;Panama;Restricted access to productive and financial resources;2019;16.1
Americas;PAN;Panama;Restricted civil liberties;2019;17.8
Asia;PNG;Papua New Guinea;Discrimination in the family;2019;54.2
Americas;PRY;Paraguay;SIGI;2019;32.8
Americas;PRY;Paraguay;Discrimination in the family;2019;46.1
Americas;PRY;Paraguay;Restricted physical integrity;2019;22.1
Americas;PRY;Paraguay;Restricted access to productive and financial resources;2019;31.7
Americas;PRY;Paraguay;Restricted civil liberties;2019;29.8
Americas;PER;Peru;SIGI;2019;24.5
Americas;PER;Peru;Discrimination in the family;2019;47.7
Americas;PER;Peru;Restricted physical integrity;2019;26.6
Americas;PER;Peru;Restricted access to productive and financial resources;2019;5.5
Americas;PER;Peru;Restricted civil liberties;2019;12.9
Asia;PHL;Philippines;SIGI;2019;52.8
Asia;PHL;Philippines;Discrimination in the family;2019;67.2
Asia;PHL;Philippines;Restricted physical integrity;2019;25.7
Asia;PHL;Philippines;Restricted access to productive and financial resources;2019;67.2
Asia;PHL;Philippines;Restricted civil liberties;2019;45.1
Europe;POL;Poland;SIGI;2019;17.4
Europe;POL;Poland;Discrimination in the family;2019;21.9
Europe;POL;Poland;Restricted physical integrity;2019;19.7
Europe;POL;Poland;Restricted access to productive and financial resources;2019;15.3
Europe;POL;Poland;Restricted civil liberties;2019;12.5
Europe;PRT;Portugal;SIGI;2019;11.2
Europe;PRT;Portugal;Discrimination in the family;2019;21.8
Europe;PRT;Portugal;Restricted physical integrity;2019;7.4
Europe;PRT;Portugal;Restricted access to productive and financial resources;2019;3.2
Europe;PRT;Portugal;Restricted civil liberties;2019;11.4
Asia;QAT;Qatar;Discrimination in the family;2019;92
Europe;ROU;Romania;SIGI;2019;16.6
Europe;ROU;Romania;Discrimination in the family;2019;28
Europe;ROU;Romania;Restricted physical integrity;2019;7.7
Europe;ROU;Romania;Restricted access to productive and financial resources;2019;7.1
Europe;ROU;Romania;Restricted civil liberties;2019;22.1
Europe;RUS;Russia;SIGI;2019;22.3
Europe;RUS;Russia;Discrimination in the family;2019;22.6
Europe;RUS;Russia;Restricted physical integrity;2019;19.1
Europe;RUS;Russia;Restricted access to productive and financial resources;2019;15.1
Europe;RUS;Russia;Restricted civil liberties;2019;31.5
Africa;RWA;Rwanda;SIGI;2019;27.6
Africa;RWA;Rwanda;Discrimination in the family;2019;38
Africa;RWA;Rwanda;Restricted physical integrity;2019;21.4
Africa;RWA;Rwanda;Restricted access to productive and financial resources;2019;26.5
Africa;RWA;Rwanda;Restricted civil liberties;2019;23.5
Asia;WSM;Samoa;Discrimination in the family;2019;42.5
Asia;WSM;Samoa;Restricted physical integrity;2019;36.7
Africa;STP;Sao Tome and Principe;Discrimination in the family;2019;16.4
Africa;STP;Sao Tome and Principe;Restricted physical integrity;2019;13.8
Asia;SAU;Saudi Arabia;Discrimination in the family;2019;89
Asia;SAU;Saudi Arabia;Restricted access to productive and financial resources;2019;40.7
Africa;SEN;Senegal;SIGI;2019;37
Africa;SEN;Senegal;Discrimination in the family;2019;64.9
Africa;SEN;Senegal;Restricted physical integrity;2019;41.9
Africa;SEN;Senegal;Restricted access to productive and financial resources;2019;27.6
Africa;SEN;Senegal;Restricted civil liberties;2019;3.6
Europe;SRB;Serbia;SIGI;2019;19.8
Europe;SRB;Serbia;Discrimination in the family;2019;32.9
Europe;SRB;Serbia;Restricted physical integrity;2019;6.7
Europe;SRB;Serbia;Restricted access to productive and financial resources;2019;19.8
Europe;SRB;Serbia;Restricted civil liberties;2019;18
Africa;SYC;Seychelles;Discrimination in the family;2019;40.7
Africa;SLE;Sierra Leone;SIGI;2019;47.6
Africa;SLE;Sierra Leone;Discrimination in the family;2019;53.7
Africa;SLE;Sierra Leone;Restricted physical integrity;2019;50.4
Africa;SLE;Sierra Leone;Restricted access to productive and financial resources;2019;44.8
Africa;SLE;Sierra Leone;Restricted civil liberties;2019;40.9
Asia;SGP;Singapore;SIGI;2019;27
Asia;SGP;Singapore;Discrimination in the family;2019;27.4
Asia;SGP;Singapore;Restricted physical integrity;2019;14.8
Asia;SGP;Singapore;Restricted access to productive and financial resources;2019;11.9
Asia;SGP;Singapore;Restricted civil liberties;2019;49.2
Europe;SVK;Slovak Republic;SIGI;2019;16.5
Europe;SVK;Slovak Republic;Discrimination in the family;2019;26.5
Europe;SVK;Slovak Republic;Restricted physical integrity;2019;5.9
Europe;SVK;Slovak Republic;Restricted access to productive and financial resources;2019;7.5
Europe;SVK;Slovak Republic;Restricted civil liberties;2019;24.4
Europe;SVN;Slovenia;SIGI;2019;12.9
Europe;SVN;Slovenia;Discrimination in the family;2019;21.8
Europe;SVN;Slovenia;Restricted physical integrity;2019;7.1
Europe;SVN;Slovenia;Restricted access to productive and financial resources;2019;9
Europe;SVN;Slovenia;Restricted civil liberties;2019;13.2
Asia;SLB;Solomon Islands;Discrimination in the family;2019;51
Asia;SLB;Solomon Islands;Restricted physical integrity;2019;37.3
Africa;SOM;Somalia;Discrimination in the family;2019;76.2
Africa;ZAF;South Africa;SIGI;2019;22.4
Africa;ZAF;South Africa;Discrimination in the family;2019;33.2
Africa;ZAF;South Africa;Restricted physical integrity;2019;15.1
Africa;ZAF;South Africa;Restricted access to productive and financial resources;2019;19.6
Africa;ZAF;South Africa;Restricted civil liberties;2019;21
Africa;SSD;South Sudan ;Discrimination in the family;2019;60.5
Africa;SSD;South Sudan ;Restricted civil liberties;2019;23.2
Europe;ESP;Spain;SIGI;2019;14.3
Europe;ESP;Spain;Discrimination in the family;2019;27.7
Europe;ESP;Spain;Restricted physical integrity;2019;11.7
Europe;ESP;Spain;Restricted access to productive and financial resources;2019;10.5
Europe;ESP;Spain;Restricted civil liberties;2019;5.8
Asia;LKA;Sri Lanka;SIGI;2019;43
Asia;LKA;Sri Lanka;Discrimination in the family;2019;67.6
Asia;LKA;Sri Lanka;Restricted physical integrity;2019;24.5
Asia;LKA;Sri Lanka;Restricted access to productive and financial resources;2019;45.6
Asia;LKA;Sri Lanka;Restricted civil liberties;2019;28.6
Africa;SDN;Sudan;Discrimination in the family;2019;89.9
Europe;SWE;Sweden;SIGI;2019;10.5
Europe;SWE;Sweden;Discrimination in the family;2019;15.1
Europe;SWE;Sweden;Restricted physical integrity;2019;8.1
Europe;SWE;Sweden;Restricted access to productive and financial resources;2019;2.1
Europe;SWE;Sweden;Restricted civil liberties;2019;16.2
Europe;CHE;Switzerland;SIGI;2019;8.1
Europe;CHE;Switzerland;Discrimination in the family;2019;0.1
Europe;CHE;Switzerland;Restricted physical integrity;2019;13.3
Europe;CHE;Switzerland;Restricted access to productive and financial resources;2019;11.9
Europe;CHE;Switzerland;Restricted civil liberties;2019;6.5
Asia;SYR;Syrian Arab Republic;Discrimination in the family;2019;86.1
Asia;TJK;Tajikistan;SIGI;2019;32.4
Asia;TJK;Tajikistan;Discrimination in the family;2019;47.8
Asia;TJK;Tajikistan;Restricted physical integrity;2019;20.2
Asia;TJK;Tajikistan;Restricted access to productive and financial resources;2019;34.1
Asia;TJK;Tajikistan;Restricted civil liberties;2019;25.1
Africa;TZA;Tanzania;SIGI;2019;46.1
Africa;TZA;Tanzania;Discrimination in the family;2019;80.6
Africa;TZA;Tanzania;Restricted physical integrity;2019;28.5
Africa;TZA;Tanzania;Restricted access to productive and financial resources;2019;30
Africa;TZA;Tanzania;Restricted civil liberties;2019;35.2
Asia;THA;Thailand;SIGI;2019;35.5
Asia;THA;Thailand;Discrimination in the family;2019;33.4
Asia;THA;Thailand;Restricted physical integrity;2019;22.7
Asia;THA;Thailand;Restricted access to productive and financial resources;2019;25.2
Asia;THA;Thailand;Restricted civil liberties;2019;56.8
Asia;TLS;Timor-Leste;Discrimination in the family;2019;31
Asia;TLS;Timor-Leste;Restricted physical integrity;2019;34.4
Africa;TGO;Togo;SIGI;2019;49.5
Africa;TGO;Togo;Discrimination in the family;2019;63.1
Africa;TGO;Togo;Restricted physical integrity;2019;24.7
Africa;TGO;Togo;Restricted access to productive and financial resources;2019;43.5
Africa;TGO;Togo;Restricted civil liberties;2019;62
Americas;TTO;Trinidad and Tobago;SIGI;2019;23.5
Americas;TTO;Trinidad and Tobago;Discrimination in the family;2019;18.3
Americas;TTO;Trinidad and Tobago;Restricted physical integrity;2019;26.6
Americas;TTO;Trinidad and Tobago;Restricted access to productive and financial resources;2019;20.4
Americas;TTO;Trinidad and Tobago;Restricted civil liberties;2019;28.5
Africa;TUN;Tunisia;SIGI;2019;47.6
Africa;TUN;Tunisia;Discrimination in the family;2019;79.9
Africa;TUN;Tunisia;Restricted physical integrity;2019;9.4
Africa;TUN;Tunisia;Restricted access to productive and financial resources;2019;35
Africa;TUN;Tunisia;Restricted civil liberties;2019;52.8
Asia;TUR;Turkiye;SIGI;2019;25.1
Asia;TUR;Turkiye;Discrimination in the family;2019;33.2
Asia;TUR;Turkiye;Restricted physical integrity;2019;7.8
Asia;TUR;Turkiye;Restricted access to productive and financial resources;2019;36.6
Asia;TUR;Turkiye;Restricted civil liberties;2019;20
Asia;TKM;Turkmenistan;Discrimination in the family;2019;29.8
Africa;UGA;Uganda;SIGI;2019;45.1
Africa;UGA;Uganda;Discrimination in the family;2019;54
Africa;UGA;Uganda;Restricted physical integrity;2019;34.3
Africa;UGA;Uganda;Restricted access to productive and financial resources;2019;61.4
Africa;UGA;Uganda;Restricted civil liberties;2019;26.6
Europe;UKR;Ukraine;SIGI;2019;21
Europe;UKR;Ukraine;Discrimination in the family;2019;22.5
Europe;UKR;Ukraine;Restricted physical integrity;2019;13.5
Europe;UKR;Ukraine;Restricted access to productive and financial resources;2019;18.5
Europe;UKR;Ukraine;Restricted civil liberties;2019;28.7
Asia;ARE;United Arab Emirates;Discrimination in the family;2019;86.7
Asia;ARE;United Arab Emirates;Restricted access to productive and financial resources;2019;28.5
Europe;GBR;United Kingdom;SIGI;2019;17.5
Europe;GBR;United Kingdom;Discrimination in the family;2019;27.6
Europe;GBR;United Kingdom;Restricted physical integrity;2019;24.5
Europe;GBR;United Kingdom;Restricted access to productive and financial resources;2019;9.5
Europe;GBR;United Kingdom;Restricted civil liberties;2019;6.7
Americas;USA;United States;SIGI;2019;17.9
Americas;USA;United States;Discrimination in the family;2019;26.6
Americas;USA;United States;Restricted physical integrity;2019;10.5
Americas;USA;United States;Restricted access to productive and financial resources;2019;10.6
Americas;USA;United States;Restricted civil liberties;2019;22.9
Americas;URY;Uruguay;SIGI;2019;22.2
Americas;URY;Uruguay;Discrimination in the family;2019;27.6
Americas;URY;Uruguay;Restricted physical integrity;2019;11
Americas;URY;Uruguay;Restricted access to productive and financial resources;2019;26.6
Americas;URY;Uruguay;Restricted civil liberties;2019;22.8
Asia;UZB;Uzbekistan;Discrimination in the family;2019;42.2
Asia;UZB;Uzbekistan;Restricted civil liberties;2019;23.5
Americas;VEN;Venezuela;Discrimination in the family;2019;43.5
Americas;VEN;Venezuela;Restricted access to productive and financial resources;2019;12.7
Americas;VEN;Venezuela;Restricted civil liberties;2019;14.6
Asia;VNM;Viet Nam;SIGI;2019;25.3
Asia;VNM;Viet Nam;Discrimination in the family;2019;23.3
Asia;VNM;Viet Nam;Restricted physical integrity;2019;30.8
Asia;VNM;Viet Nam;Restricted access to productive and financial resources;2019;32.3
Asia;VNM;Viet Nam;Restricted civil liberties;2019;13.8
Asia;YEM;Yemen;SIGI;2019;64
Asia;YEM;Yemen;Discrimination in the family;2019;89.7
Asia;YEM;Yemen;Restricted physical integrity;2019;37.7
Asia;YEM;Yemen;Restricted access to productive and financial resources;2019;43.2
Asia;YEM;Yemen;Restricted civil liberties;2019;75.8
Africa;ZMB;Zambia;SIGI;2019;34.8
Africa;ZMB;Zambia;Discrimination in the family;2019;40.7
Africa;ZMB;Zambia;Restricted physical integrity;2019;27.6
Africa;ZMB;Zambia;Restricted access to productive and financial resources;2019;28.2
Africa;ZMB;Zambia;Restricted civil liberties;2019;41.8
Africa;ZWE;Zimbabwe;SIGI;2019;32.4
Africa;ZWE;Zimbabwe;Discrimination in the family;2019;42.8
Africa;ZWE;Zimbabwe;Restricted physical integrity;2019;20.2
Africa;ZWE;Zimbabwe;Restricted access to productive and financial resources;2019;34.3
Africa;ZWE;Zimbabwe;Restricted civil liberties;2019;30.9
